,staff01_note01,staff01_note02,staff01_note03,staff01_note04,staff01_note05,staff02_note01,staff02_note02,staff02_note03,staff02_note04,staff02_note05
447,0,0,0,0,0,59,0,0,0,0
448,66,0,0,0,0,62,0,0,0,0
449,64,71,0,0,0,55,0,0,0,0
450,67,0,0,0,0,62,0,0,0,0
451,67,70,0,0,0,55,0,0,0,0
452,0,0,0,0,0,62,0,0,0,0
453,67,72,0,0,0,51,0,0,0,0
454,67,0,0,0,0,60,0,0,0,0
455,66,74,0,0,0,50,0,0,0,0
456,63,70,0,0,0,48,0,0,0,0
457,0,0,0,0,0,55,0,0,0,0
458,64,70,0,0,0,49,0,0,0,0
459,65,70,0,0,0,50,0,0,0,0
460,61,70,0,0,0,52,0,0,0,0
461,65,70,74,0,0,0,0,0,0,0
462,62,67,70,0,0,52,0,0,0,0
463,63,67,74,0,0,53,58,0,0,0
464,63,66,72,0,0,53,57,0,0,0
465,62,65,70,0,0,46,0,0,0,0
466,60,74,77,82,0,58,0,0,0,0
467,53,57,60,62,65,41,48,0,0,0
468,55,58,62,65,0,43,0,0,0,0
469,60,64,67,69,70,48,57,0,0,0
470,60,62,65,69,0,50,53,0,0,0
471,60,63,65,69,70,41,55,0,0,0
472,60,62,65,0,0,46,0,0,0,0
473,62,0,0,0,0,60,0,0,0,0
474,62,0,0,0,0,48,58,0,0,0
475,57,0,0,0,0,41,0,0,0,0
476,60,0,0,0,0,48,58,0,0,0
477,57,60,64,67,69,45,0,0,0,0
478,65,71,74,0,0,43,53,0,0,0
479,72,0,0,0,0,48,52,62,0,0
480,71,0,0,0,0,43,53,0,0,0
481,64,70,72,0,0,48,0,0,0,0
482,67,69,0,0,0,48,52,58,0,0
483,60,65,69,72,0,41,48,0,0,0
484,60,0,0,0,0,41,0,0,0,0
485,59,62,65,69,0,50,0,0,0,0
486,59,62,65,0,0,43,0,0,0,0
487,58,64,67,0,0,36,0,0,0,0
488,58,62,65,0,0,29,41,0,0,0
489,57,60,0,0,0,0,0,0,0,0
490,55,58,0,0,0,0,0,0,0,0
491,55,57,60,65,0,29,41,0,0,0
492,60,0,0,0,0,48,52,58,0,0
493,55,57,60,65,67,29,41,0,0,0
494,0,0,0,0,0,52,57,62,0,0
495,0,0,0,0,0,50,53,60,0,0
496,0,0,0,0,0,52,56,62,0,0
497,0,0,0,0,0,53,56,59,62,0
498,0,0,0,0,0,55,59,62,64,0
499,0,0,0,0,0,54,57,60,63,0
500,0,0,0,0,0,53,55,59,60,0
501,0,0,0,0,0,53,55,59,62,0
502,0,0,0,0,0,52,55,57,62,0
503,0,0,0,0,0,50,53,55,60,0
504,0,0,0,0,0,52,55,57,60,0
505,0,0,0,0,0,53,59,64,0,0
506,0,0,0,0,0,50,56,60,0,0
507,79,0,0,0,0,48,54,58,0,0
508,0,0,0,0,0,53,56,60,62,0
